company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
/organization/waywire,#waywire,|Entertainment|Politics|Social Media|News|,News,USA,NY,New York City,New York,/funding-round/cc409188fa2b63482bd9008f682c2efa,seed,,2012-06-30T00:00:00,2012-06, 2012-Q2 ,2012.0,"1,750,000"
/organization/tv-communications,&TV Communications,|Games|,Games,USA,CA,Los Angeles,Los Angeles,/funding-round/86d22afc65107b6941e6c43c671ecbb8,undisclosed,,2010-06-04T00:00:00,2010-06, 2010-Q2 ,2010.0,"1,000,000"
/organization/tv-communications,&TV Communications,|Games|,Games,USA,CA,Los Angeles,Los Angeles,/funding-round/59a3669a64e39360c2b939300bcda162,undisclosed,,2010-09-23T00:00:00,2010-09, 2010-Q3 ,2010.0,"3,000,000"
/organization/rock-your-paper,'Rock' Your Paper,|Publishing|Education|,Publishing,EST,,Tallinn,Tallinn,/funding-round/f06b420775f7cb6c1541a9db526534bb,seed,,2012-08-09T00:00:00,2012-08, 2012-Q3 ,2012.0,"40,000"
/organization/in-touch-network,(In)Touch Network,|Electronics|Guides|Coffee|Restaurants|Music|iPhone|Apps|Mobile|iOS|E-Commerce|,Electronics,GBR,,London,London,/funding-round/33c3f135f05d7b734b8d7b7c8ae82647,seed,,2011-04-01T00:00:00,2011-04, 2011-Q2 ,2011.0,"1,500,000"
/organization/n-plusn,#NAME?,|Software|,Software,USA,NY,New York City,New York,/funding-round/02db5c0281af296a1ecbd30fad02c196,seed,,2012-08-29T00:00:00,2012-08, 2012-Q3 ,2012.0,"600,000"
/organization/n-plusn,#NAME?,|Software|,Software,USA,NY,New York City,New York,/funding-round/741bca99ced6eda61d6c4d5690a85896,venture,,2014-09-04T00:00:00,2014-09, 2014-Q3 ,2014.0,"600,000"
/organization/club-domains,.Club Domains,|Software|,Software,USA,FL,Ft. Lauderdale,Oakland Park,/funding-round/aee671c9707f8278a9544c8ae37650e0,venture,b,2013-05-31T00:00:00,2013-05, 2013-Q2 ,2013.0,"7,000,000"
/organization/fox-networks,.Fox Networks,|Advertising|,Advertising,ARG,,Buenos Aires,Buenos Aires,/funding-round/69a1536a6f4506538afd7aa7241ddbe1,undisclosed,,2007-01-16T00:00:00,2007-01, 2007-Q1 ,2007.0,"4,912,393"
/organization/0-6-com,0-6.com,|Curated Web|,Curated Web,,,,,/funding-round/5727accaeaa57461bd22a9bdd945382d,venture,a,2008-03-19T00:00:00,2008-03, 2008-Q1 ,2008.0,"2,000,000"
/organization/004-technologies,004 Technologies,|Software|,Software,USA,IL,"Springfield, Illinois",Champaign,/funding-round/1278dd4e6a37fa4b7d7e06c21b3c1830,venture,,2014-07-24T00:00:00,2014-07, 2014-Q3 ,2014.0,
/organization/01games-technology,01Games Technology,|Games|,Games,HKG,,,,/funding-round/7d53696f2b4f607a2f2a8cbb83d01839,seed,,2014-07-01T00:00:00,2014-07, 2014-Q3 ,2014.0,"41,250"
/organization/0xdata,0xdata,|Analytics|,Analytics,USA,CA,SF Bay Area,Mountain View,/funding-round/ae2a174c06517c2394aed45006322a7e,undisclosed,,2013-01-03T00:00:00,2013-01, 2013-Q1 ,2013.0,"1,700,000"
/organization/0xdata,0xdata,|Analytics|,Analytics,USA,CA,SF Bay Area,Mountain View,/funding-round/e1cfcbe1bdf4c70277c5f29a3482f24e,venture,A,2014-07-19T00:00:00,2014-07, 2014-Q3 ,2014.0,"8,900,000"
/organization/1-2-3-listo,"1,2,3 Listo",|E-Commerce|,E-Commerce,CHL,,Santiago,Las Condes,/funding-round/6de4609e894495105bc791ed64361288,seed,,2013-02-18T00:00:00,2013-02, 2013-Q1 ,2013.0,"40,000"
/organization/1-4-all,1-4 All,|Entertainment|Games|Software|,Software,USA,NC,North Carolina,Connellys Springs,/funding-round/e97a192e13ea0ee3c4f71136b4f3ec16,equity_crowdfunding,,2013-04-21T00:00:00,2013-04, 2013-Q2 ,2013.0,
/organization/1-800-dentist,1-800-DENTIST,|Health and Wellness|,Health and Wellness,USA,CA,Los Angeles,Los Angeles,/funding-round/5274aacc211163fc7c86539ce94bbacc,undisclosed,,2010-08-19T00:00:00,2010-08, 2010-Q3 ,2010.0,
/organization/1-800-doctors,1-800-DOCTORS,|Health and Wellness|,Health and Wellness,USA,NJ,Newark,Iselin,/funding-round/9eb8c7790a0c200d79e75785d1c4aa12,convertible_note,,2011-03-02T00:00:00,2011-03, 2011-Q1 ,2011.0,"1,750,000"
/organization/1-618-technology,1.618 Technology,|Real Estate|,Real Estate,USA,FL,Orlando,Orlando,/funding-round/83b8f4c7d37ecef5e001a5e953bf461a,equity_crowdfunding,,2014-01-22T00:00:00,2014-01, 2014-Q1 ,2014.0,
/organization/10-20-media,10-20 Media,|E-Commerce|,E-Commerce,USA,MD,Baltimore,Woodbine,/funding-round/a884bf8326b9fd59789c0f74a28dbc3b,debt_financing,,2011-12-28T00:00:00,2011-12, 2011-Q4 ,2011.0,"500,000"
/organization/10-20-media,10-20 Media,|E-Commerce|,E-Commerce,USA,MD,Baltimore,Woodbine,/funding-round/d205f5416ce55e126beda3ed2bf2c2cd,debt_financing,,2010-03-30T00:00:00,2010-03, 2010-Q1 ,2010.0,"250,000"
/organization/10-20-media,10-20 Media,|E-Commerce|,E-Commerce,USA,MD,Baltimore,Woodbine,/funding-round/8025ee9c11a586eac4a234ddec7beb30,debt_financing,,2009-06-18T00:00:00,2009-06, 2009-Q2 ,2009.0,"500,000"
/organization/10-20-media,10-20 Media,|E-Commerce|,E-Commerce,USA,MD,Baltimore,Woodbine,/funding-round/436874dc54b54460f99f44c06e50990a,debt_financing,,2011-01-11T00:00:00,2011-01, 2011-Q1 ,2011.0,"800,000"
/organization/1000-corks,1000 Corks,|Search|,Search,USA,OR,"Portland, Oregon",Lake Oswego,/funding-round/8f4fa70e24269ddd8bdf6658906b356b,seed,,2011-08-23T00:00:00,2011-08, 2011-Q3 ,2011.0,"40,000"
/organization/1000-markets,1000 Markets,|Marketplaces|Art|E-Commerce|,Marketplaces,,,,,/funding-round/ce6749b6441f52ccaf38b6d5578779fd,seed,,2009-05-15T00:00:00,2009-05, 2009-Q2 ,2009.0,"500,000"
/organization/1000jobboersen-de,1000jobboersen.de,|Curated Web|,Curated Web,DEU,,Berlin,Berlin,/funding-round/3407d447c84490721358e5c0eb23e3a1,venture,b,2011-09-16T00:00:00,2011-09, 2011-Q3 ,2011.0,
/organization/1000memories,1000memories,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/funding-round/f5fb428ed1e63321f88b3e646ba85f00,seed,,2010-01-01T00:00:00,2010-01, 2010-Q1 ,2010.0,"15,000"
/organization/1000memories,1000memories,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/funding-round/502bd0e50c27616995e4bdad24605ef8,venture,a,2011-02-16T00:00:00,2011-02, 2011-Q1 ,2011.0,"2,520,000"
/organization/1000museums-com,1000museums.com,|Curated Web|,Curated Web,USA,WA,Omaha,Bellevue,/funding-round/13be128d655076a025221d7fddc90d68,venture,,2009-10-14T00:00:00,2009-10, 2009-Q4 ,2009.0,"265,940"
/organization/1000museums-com,1000museums.com,|Curated Web|,Curated Web,USA,WA,Omaha,Bellevue,/funding-round/6aeb32ab3fc05db2b606d7a2466e8c09,venture,,2014-01-15T00:00:00,2014-01, 2014-Q1 ,2014.0,"2,906,832"
/organization/1000museums-com,1000museums.com,|Curated Web|,Curated Web,USA,WA,Omaha,Bellevue,/funding-round/fd1b3064232ba9b3cfb5653a619e82e8,venture,,2011-04-05T00:00:00,2011-04, 2011-Q2 ,2011.0,"642,000"
/organization/1000museums-com,1000museums.com,|Curated Web|,Curated Web,USA,WA,Omaha,Bellevue,/funding-round/01c1aa44619ae45a16e3098fc73facfa,debt_financing,,2013-04-08T00:00:00,2013-04, 2013-Q2 ,2013.0,"647,879"
/organization/1001-menus,1001 Menus,|Local Businesses|Restaurants|,Restaurants,FRA,,Paris,Paris,/funding-round/9d6619bf66478dd8bf19bfc8dc237770,seed,,2012-12-27T00:00:00,2012-12, 2012-Q4 ,2012.0,"132,169"
/organization/1001-menus,1001 Menus,|Local Businesses|Restaurants|,Restaurants,FRA,,Paris,Paris,/funding-round/8025123b90c1ab687f9857ffe18bfd3b,venture,a,2013-11-13T00:00:00,2013-11, 2013-Q4 ,2013.0,"1,736,910"
/organization/1001-menus,1001 Menus,|Local Businesses|Restaurants|,Restaurants,FRA,,Paris,Paris,/funding-round/b6c28ea4ebe32db7083052cf87e7c368,venture,A,2013-10-25T00:00:00,2013-10, 2013-Q4 ,2013.0,"1,800,000"
/organization/1001-menus,1001 Menus,|Local Businesses|Restaurants|,Restaurants,FRA,,Paris,Paris,/funding-round/6364929e6f6c94921f9c853f53b10b7a,seed,,2012-12-15T00:00:00,2012-12, 2012-Q4 ,2012.0,"390,000"
/organization/1006-tv,1006.tv,|Media|Games|,Media,CHN,,Beijing,Beijing,/funding-round/a3631227d5232aa8c2303f252c4f1f87,angel,,2011-01-01T00:00:00,2011-01, 2011-Q1 ,2011.0,
/organization/1006-tv,1006.tv,|Media|Games|,Media,CHN,,Beijing,Beijing,/funding-round/c4dd206906e8f6834dde0eb9681002ac,venture,A,2013-01-01T00:00:00,2013-01, 2013-Q1 ,2013.0,
/organization/1006-tv,1006.tv,|Media|Games|,Media,CHN,,Beijing,Beijing,/funding-round/b6aeb7401ec6993f92a16cbca153b600,venture,B,2014-07-31T00:00:00,2014-07, 2014-Q3 ,2014.0,"10,000,000"
/organization/100du-tv,100du.tv,|Hospitality|,Hospitality,,,,,/funding-round/46a9d3228f69c036e8076f1362ac58cd,venture,c,2010-08-13T00:00:00,2010-08, 2010-Q3 ,2010.0,
/organization/100du-tv,100du.tv,|Hospitality|,Hospitality,,,,,/funding-round/8797d60368bb0227f0d0ab4c72aef886,venture,a,2008-01-07T00:00:00,2008-01, 2008-Q1 ,2008.0,"3,000,000"
/organization/100e-com,100e.com,|Education|,Education,CHN,,Beijing,Beijing,/funding-round/22a86670d1055d7bafce665b27e91871,undisclosed,,2006-01-01T00:00:00,2006-01, 2006-Q1 ,2006.0,"3,000,000"
/organization/100plus,100Plus,|Analytics|,Analytics,USA,CA,SF Bay Area,San Francisco,/funding-round/57ce16d039aa0c61d966397f6db00b02,seed,,2011-11-30T00:00:00,2011-11, 2011-Q4 ,2011.0,"750,000"
/organization/100plus,100Plus,|Analytics|,Analytics,USA,CA,SF Bay Area,San Francisco,/funding-round/b5facb0d9dea2f0352b5834892c88c53,undisclosed,,2011-11-02T00:00:00,2011-11, 2011-Q4 ,2011.0,"500,000"
/organization/1010data,1010data,|Software|,Software,USA,NY,New York City,New York,/funding-round/482fbf992b48f5c47d0080ab7ec0cb54,undisclosed,,2010-03-08T00:00:00,2010-03, 2010-Q1 ,2010.0,"35,000,000"
/organization/10bestthings,10BestThings,|Curated Web|,Curated Web,USA,OH,Cleveland,Cleveland,/funding-round/35a58e17c5f6e25658a526fe9f6f8364,seed,,2009-04-01T00:00:00,2009-04, 2009-Q2 ,2009.0,"50,000"
