Id,Response
1,6
3,6
4,7
9,5
12,6
13,8
21,7
28,8
30,8
36,7
38,8
43,8
45,4
48,8
50,7
51,8
54,7
55,6
59,8
62,6
63,7
66,8
69,8
82,8
83,5
84,6
86,8
89,8
90,7
92,8
98,7
100,2
105,5
115,8
119,3
124,2
127,8
133,8
140,2
141,8
143,2
151,6
154,7
157,8
163,7
166,3
168,8
170,6
173,8
180,1
182,7
184,1
185,7
195,8
196,7
197,5
212,5
213,8
219,8
225,6
227,1
232,6
239,6
247,8
251,1
254,7
261,7
264,6
267,8
272,8
275,8
277,2
283,6
284,6
287,7
291,8
293,2
294,5
305,8
307,7
309,8
311,5
322,2
323,4
326,6
330,3
335,8
337,7
338,6
341,4
346,7
348,6
352,4
356,8
358,2
366,6
369,2
373,6
375,8
381,6
384,8
386,6
396,1
397,5
399,7
405,8
412,2
417,6
421,8
425,7
427,8
430,6
432,6
433,8
436,1
438,7
441,8
442,2
444,1
446,8
448,7
450,6
454,7
465,8
470,2
472,5
475,6
484,6
495,8
497,8
498,8
501,5
502,7
505,2
515,1
516,1
527,8
529,1
531,8
533,2
537,1
541,7
546,8
548,7
549,8
550,8
553,7
559,8
561,2
564,1
574,5
578,8
579,7
580,8
582,7
584,8
588,5
596,5
602,1
603,2
613,2
614,4
619,8
620,6
624,1
625,8
628,8
630,1
635,8
636,1
637,8
641,7
644,8
648,8
654,8
658,6
664,8
666,6
667,7
670,8
672,7
674,8
676,8
684,8
685,6
693,6
694,8
700,4
702,6
703,1
705,6
711,8
718,6
722,5
726,6
727,1
732,8
735,8
740,8
748,1
750,7
751,8
756,7
762,6
766,6
770,8
771,5
779,7
782,2
784,8
793,8
798,6
800,6
801,1
805,6
807,6
813,6
819,8
820,8
822,8
823,6
833,6
834,6
842,4
845,7
856,5
860,5
864,2
869,6
872,8
877,6
878,8
893,7
894,8
896,7
899,1
900,8
911,2
914,8
917,1
919,8
923,5
925,7
926,6
934,7
938,2
940,6
955,8
956,6
971,7
973,7
978,8
979,1
981,4
988,8
990,8
992,6
