Id,Response
1,0
3,5
4,5
9,7
12,7
13,7
21,5
28,7
30,6
36,7
38,7
43,7
45,3
48,7
50,3
51,7
54,6
55,7
59,7
62,1
63,7
66,7
69,7
82,7
83,5
84,5
86,7
89,7
90,6
92,7
98,6
100,5
105,4
115,7
119,5
124,5
127,7
133,7
140,5
141,7
143,1
151,6
154,7
157,7
163,6
166,5
168,7
170,3
173,7
180,5
182,7
184,0
185,7
195,7
196,7
197,7
212,7
213,7
219,7
225,5
227,1
232,5
239,5
247,0
251,6
254,5
261,7
264,5
267,7
272,7
275,7
277,7
283,7
284,0
287,7
291,7
293,7
294,5
305,7
307,1
309,7
311,6
322,5
323,3
326,4
330,5
335,7
337,7
338,5
341,0
346,6
348,7
352,3
356,7
358,0
366,6
369,4
373,5
375,1
381,5
384,7
386,5
396,7
397,1
399,7
405,7
412,7
417,4
421,7
425,7
427,7
430,5
432,5
433,7
436,7
438,7
441,7
442,4
444,5
446,7
448,5
450,7
454,7
465,7
470,6
472,5
475,5
484,7
495,7
497,7
498,7
501,6
502,5
505,7
515,0
516,7
527,7
529,4
531,5
533,5
537,5
541,7
546,7
548,7
549,7
550,7
553,7
559,7
561,6
564,4
574,5
578,7
579,5
580,7
582,5
584,7
588,5
596,4
602,0
603,4
613,7
614,0
619,7
620,4
624,7
625,7
628,7
630,6
635,7
636,0
637,7
641,7
644,7
648,7
654,7
658,7
664,7
666,5
667,7
670,7
672,6
674,7
676,7
684,7
685,5
693,0
694,7
700,5
702,5
703,6
705,5
711,7
718,1
722,7
726,0
727,5
732,7
735,7
740,0
748,7
750,7
751,7
756,6
762,6
766,7
770,7
771,7
779,7
782,5
784,7
793,7
798,5
800,5
801,7
805,6
807,7
813,7
819,7
820,7
822,7
823,7
833,7
834,5
842,3
845,7
856,7
860,5
864,0
869,7
872,7
877,5
878,7
893,7
894,7
896,7
899,7
900,7
911,4
914,7
917,0
919,7
923,5
925,0
926,1
934,6
938,7
940,7
955,6
956,7
971,6
973,7
978,7
979,7
981,7
988,7
990,7
992,5
996,7
997,3
999,5
1000,7
1006,7
1009,5
1018,6
1025,5
1038,7
1042,7
1045,6
1046,7
1047,5
1050,5
1052,6
1054,7
1057,7
1061,3
1069,1
1071,6
1073,5
1074,7
1075,1
1083,6
1084,0
1089,4
1099,4
1103,1
1110,7
1123,7
1130,6
1135,7
1137,7
1145,7
1147,5
1152,7
1153,0
1154,7
1158,7
1166,5
1170,5
1172,5
1178,7
1179,7
1181,5
1182,7
1183,7
1191,7
1192,1
1200,5
1205,7
1207,7
1208,5
1209,1
1217,6
1223,7
1225,7
1226,5
1228,0
1230,5
1232,7
1235,7
1237,6
1257,7
1266,0
1267,5
1274,7
1277,7
1278,6
1280,7
1282,7
1293,6
1294,5
1305,7
1306,7
1311,7
1318,6
1320,7
1323,7
1325,5
1328,5
1336,6
1340,7
1341,7
1344,6
1345,6
1348,5
1358,0
1361,7
1364,5
1373,7
1377,5
1378,7
1380,7
1382,7
1383,5
1386,7
1387,1
1390,1
1395,7
1398,7
1402,5
1403,7
1405,7
1407,7
1410,0
1412,1
1419,7
1426,7
1428,7
1436,5
1437,1
1438,5
1441,7
1444,1
1448,6
1454,7
1457,7
1459,7
1463,7
1467,5
1471,6
1475,4
1476,5
1480,7
1481,5
1482,7
1489,6
1491,5
1494,7
1496,7
1500,7
1501,7
1503,6
1504,4
1505,5
1515,7
1517,7
1520,4
1521,3
1523,7
1526,7
1529,6
1530,7
1543,5
1544,7
1547,6
1550,7
1552,6
1554,6
1563,7
1574,7
1575,0
1576,6
1579,6
1582,5
1584,7
1585,7
1589,1
1596,7
1598,1
