company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
/organization/waywire,#waywire,|Entertainment|Politics|Social Media|News|,News,USA,NY,New York City,New York,/organization/magnify,Waywire,|Video|Games|,Video,USA,NY,New York City,New York,2013-10-17T00:00:00,2013-10,2013-Q4,2013.0,,USD
/organization/fluff-friends,(fluff)Friends,,,,,,,/organization/social-gaming-network,SGN (Social Gaming Network),|Social Media|Games|,Games,USA,CA,Los Angeles,Beverly Hills,2008-09-16T00:00:00,2008-09,2008-Q3,2008.0,,USD
/organization/red,(RED),|Nonprofits|,Nonprofits,USA,NY,New York City,New York,/organization/nationstar-mortgage-holdings,Nationstar Mortgage Holdings,|Finance|,Finance,USA,TX,Dallas,Lewisville,2014-05-08T00:00:00,2014-05,2014-Q2,2014.0,"18,000,000",USD
/organization/co-internet,.CO,|Registrars|Domains|Curated Web|,Registrars,USA,FL,Miami,Miami,/organization/neustar,Neustar,|Telecommunications|Analytics|Information Technology|,Analytics,USA,VA,Sterling,Sterling,2014-03-20T00:00:00,2014-03,2014-Q1,2014.0,"109,000,000",USD
/organization/vantronix,.vantronix,|Cloud Security|Network Security|Security|,Cloud Security,DEU,,Hanover,Hanover,/organization/compumatica,Compumatica,,,,,,,2011-01-01T00:00:00,2011-01,2011-Q1,2011.0,,USD
/organization/003-ru,003.RU,,,RUS,,Moscow,Moscow,/organization/media-saturn,Media Saturn,|Sales and Marketing|Media|Enterprise Software|,Media,ESP,,Barcelona,Barcelona,2012-07-23T00:00:00,2012-07,2012-Q3,2012.0,,USD
/organization/0958572-b-c-ltd,0958572 B.C. Ltd.,,,,,,,/organization/atlas-intellectual-property-management-co,ATLAS Intellectual Property Management Co.,|Telecommunications|Mobile|Finance|,Mobile,USA,WA,Seattle,Seattle,2012-02-02T00:00:00,2012-02,2012-Q1,2012.0,"9,000,000",USD
/organization/1-nation-technology,1 Nation Technology,,,,,,,/organization/vology,Vology,|None|,None,,,,,2006-01-01T00:00:00,2006-01,2006-Q1,2006.0,,USD
/organization/1-800-contacts,1-800 Contacts,,,,,,,/organization/thomas-h-lee-partners,Thomas H. Lee Partners,,,USA,MA,Boston,Boston,2014-01-07T00:00:00,2014-01,2014-Q1,2014.0,,USD
/organization/1000-markets,1000 Markets,|Marketplaces|Art|E-Commerce|,Marketplaces,,,,,/organization/bonanzle,Bonanza,|Beauty|Art|Shopping|Social Buying|Textbooks|Marketplaces|Fashion|Collectibles|Online Shopping|E-Commerce|,Fashion,USA,WA,Seattle,Seattle,2012-09-22T00:00:00,2012-09,2012-Q3,2012.0,,USD
/organization/1000memories,1000memories,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/ancestry-com,Ancestry,|Internet|E-Commerce|,Internet,USA,UT,Salt Lake City,Provo,2012-10-03T00:00:00,2012-10,2012-Q4,2012.0,,USD
/organization/100plus,100Plus,|Analytics|,Analytics,USA,CA,SF Bay Area,San Francisco,/organization/practice-fusion,Practice Fusion,|Physicians|Electronic Health Records|Health Care|Heathcare|Health and Wellness|,Health and Wellness,USA,CA,SF Bay Area,San Francisco,2013-02-27T00:00:00,2013-02,2013-Q1,2013.0,,USD
/organization/10best,10best,|Curated Web|,Curated Web,USA,SC,"Greenville, NC",Greenville,/organization/nile-guide,NileGuide,|Career Planning|Travel|Social Media|,Career Planning,USA,CA,SF Bay Area,San Francisco,2011-01-25T00:00:00,2011-01,2011-Q1,2011.0,,USD
/organization/10east,10East,|Web Hosting|,Web Hosting,USA,FL,Jacksonville,Jacksonville,/organization/railcar-management,Railcar Management,|Enterprise Software|,Enterprise Software,,,,,2009-04-14T00:00:00,2009-04,2009-Q2,2009.0,,USD
/organization/10k-wizard,10K Wizard,,,,,,,/organization/morningstar,Morningstar,|Investment Management|Software|,Investment Management,USA,IL,Chicago,Chicago,2008-12-04T00:00:00,2008-12,2008-Q4,2008.0,,USD
/organization/118boardshop-com,118Boardshop.com,,,,,,,/organization/leftlane-sports,LeftLane Sports,|Sports|,Sports,USA,CA,San Luis Obispo,San Luis Obispo,2011-10-01T00:00:00,2011-10,2011-Q4,2011.0,,USD
/organization/123linkit-com,123LinkIt.com,|Advertising|Technology|,Advertising,,,,,/organization/netline,NetLine Corporation,|Content Syndication|B2B|Brand Marketing|Lead Generation|Internet Marketing|Advertising|,Content Syndication,USA,CA,SF Bay Area,Los Gatos,2011-12-06T00:00:00,2011-12,2011-Q4,2011.0,,USD
/organization/123people,123people,|Software|Search|,Search,AUT,,Vienna,Vienna,/organization/pagesjaunes,PagesJaunes,|Advertising|,Advertising,FRA,,Poitou-Charentes,SíÂvres,2010-03-19T00:00:00,2010-03,2010-Q1,2010.0,,USD
/organization/12designer,12designer,|Web Design|Graphics|Entrepreneur|Small and Medium Businesses|Startups|Contests|Creative|Design|Public Relations|,Creative,DEU,,Berlin,Berlin,/organization/99designs,99designs,|Marketplaces|Online Shopping|Crowdsourcing|Design|,Design,USA,CA,SF Bay Area,San Francisco,2012-08-06T00:00:00,2012-08,2012-Q3,2012.0,,USD
/organization/12society,12Society,|E-Commerce|,E-Commerce,USA,CA,Los Angeles,West Hollywood,/organization/quarterly,Quarterly,|E-Commerce|Gift Card|Curated Web|,E-Commerce,USA,CA,Los Angeles,West Hollywood,2013-07-03T00:00:00,2013-07,2013-Q3,2013.0,,USD
/organization/160by2,160by2,,,,,,,/organization/way2sms-com,Way2SMS.com,|Messaging|Mobile|,Mobile,IND,,Hyderabad,Hyderabad,2012-01-04T00:00:00,2012-01,2012-Q1,2012.0,,USD
/organization/170-systems,170 Systems,|Software|,Software,USA,MA,Boston,Bedford,/organization/kofax,Kofax,|Software|,Software,USA,CA,Anaheim,Irvine,2009-09-08T00:00:00,2009-09,2009-Q3,2009.0,"43,000,000",USD
/organization/1form-com,1Form.com,|None|,None,NOR,,Aust-Agder,,/organization/rea-group,REA Group,|News|,News,AUS,,Melbourne,Melbourne,2014-01-14T00:00:00,2014-01,2014-Q1,2014.0,"15,000,000",USD
/organization/1st-choice-security-solutions,1st Choice Security Solutions,|Security|,Security,USA,GA,Atlanta,Atlanta,/organization/comcam,ComCam,,,USA,PA,Cincinnati,West Chester,2011-04-13T00:00:00,2011-04,2011-Q2,2011.0,,USD
/organization/1st-united-bancorp,1st United Bancorp,|Banking|,Banking,,,,,/organization/valley-national-bancorp,Valley National Bancorp,|Banking|,Banking,USA,NV,Las Vegas,Las Vegas,2014-05-08T00:00:00,2014-05,2014-Q2,2014.0,"300,000,000",USD
/organization/1up,1Up,|Software|,Software,,,,,/organization/ugo-entertainment,UGO Entertainment,|Entertainment|Video Games|Games|Curated Web|,Curated Web,USA,NY,New York City,New York,2009-01-06T00:00:00,2009-01,2009-Q1,2009.0,,USD
